license_type,authors,year,title,journal,doi,url,,
open,"Eckert, I. et al.",2026,"Species Loss Scenarios Identify Canada's Northern Ecosystems as Disproportionately Vulnerable",Journal of Biogeography,10.1111/jbi.70139,,,
open,"González-Vaquero, R.A. et al.",2026,"Curation and standardisation of plant-pollinator interaction data under FAIR principles: experience from Pampean agroecosystems",Journal of Pollination Ecology,10.26786/1920-7603(2026)873,,,
open,"Spillas, S. et al.",2026,"AI-driven knowledge synthesis for food web parameterisation",Environmental Modelling and Software,10.1016/j.envsoft.2026.106865,,,
open,"Wooster, E. et al.",2026,"Predator-prey temporal niche partitioning under human disturbance: a meta-analysis",Nature Communications,10.1038/s41467-026-69113-9,,,
open,"Souza, V.G. et al.",2026,"Low-coast Coastal Monitoring Using Citizen Scientist Data: An Overview of the Coastsnap Program in Brazil",Finisterra,10.18055/Finis42824,,,
open,"Ahmeti, A. et al.",2025,Enabling Biodiversity-Informed Architecture Through Ontology-Driven Data Integration,Applied Sciences,10.3390/app15105311,,,
open,"An, S. et al.",2025, How Online Learners Engage in Self-Directed Modeling: A Behavioral Analysis.,International Journal of Artificial Intelligence in Education,10.1007/s40593-025-00506-5,,,
open,"Barbosa, W.L. and Alves-Souza, S.N.",2025,Data quality issues in data used in species distribution models: A systematic literature review,Ecological Informatics,10.1016/j.ecoinf.2025.103378,,,
open,"Beauchesne, D. et al.",2025,Ecological interactions amplify cumulative effects in marine ecosystems,Science,10.1126/sciadv.adp9315,,,
open,"Bellardini, D. et al.",2025,Marine Biodiversity in a Coastal Periphery Revealed by a Community-Based Monitoring Approach Integrating Citizen Science and Environmental DNA Metabarcoding,Environments,10.3390/environments12120474,,,
closed,"Camargo-Sanabria, A. A. et al.",2025,Ecological Interactions of Terrestrial Mammals in the Chihuahuan Desert: A Systematic Map,Mammal Review,10.1111/mam.70001,,,
open,"Cardoso, P. et al.",2025,"Toward a global repository of insect traits (GRIT)",Insect Conservation and Diversity,10.1111/icad.70035,,,
open,"Chacko, M.R. et al.",2025,"A species-level multi-trophic metaweb for Switzerland",Scientific Data,10.1038/s41597-025-05487-7,,,
open,"Devalez, J. et al.",2025,"Annotated checklist of the bees of bonaire, with a focus on host plants (Anthophila)",Nederlandse Faunistische Mededelingen,,https://natuurtijdschriften.nl/pub/1026875,,
open,"Drucker, D.P. et al.",2025,"Machine-Actionable Metadata in Practice: Lessons From Automating FAIR Assessment in Plant-Pollinator Datasets",Biodiversity Information Science and Standards,10.3897/biss.9.180280,,,
closed,"Feng, X. et al.",2025,The next stage of biodiversity informatics: community-driven synthesis and integration of biodiversity databases,BioScience,10.1093/biosci/biaf112,,,
open,"Gao, H. et al.",2025,Distribution patterns and environmental factors influencing Nymphalidae and Salticidae diversity in the Wuzhishan area of Hainan,iScience,10.1016/j.isci.2025.112238,,,
closed,"Hao, X. et al.",2025,Global Projection of Terrestrial Vertebrate Food Webs Under Future Climate and Land-Use Changes,Global Change Biology,10.1111/gcb.70061,,,
open,"Kau, M., et al.",2025,"Umbrella, keystone, or flagship? An integrated framework for identifying effective surrogate species",Biological Conservation,10.1016/j.biocon.2025.111025,,,
open,"Lanuza, J.B., et al.",2025,EuPPollNet: A European Database of Plant-Pollinator Networks,Global Ecology and Biogeography,10.1111/geb.70000,,,
